item,date
IEIP_필기_written_form_제1회,2026-01-12
IEIP_필기_written_exam_제1회,2026-01-30
IEIP_필기_written_result_date_제1회,2026-03-11
IEIP_실기_practical_form_제1회,2026-03-23
IEIP_실기_practical_exam_제1회,2026-04-18
IEIP_실기_final_result_date_제1회,2026-06-12
IEIP_필기_written_form_제2회,2026-04-20
IEIP_필기_written_exam_제2회,2026-05-09
IEIP_필기_written_result_date_제2회,2026-06-10
IEIP_실기_practical_form_제2회,2026-06-22
IEIP_실기_practical_exam_제2회,2026-07-19
IEIP_실기_final_result_date_제2회,2026-09-11
IEIP_필기_written_form_제3회,2026-07-20
IEIP_필기_written_exam_제3회,2026-08-07
IEIP_필기_written_result_date_제3회,2026-09-09
IEIP_실기_practical_form_제3회,2026-09-21
IEIP_실기_practical_exam_제3회,2026-10-25
IEIP_실기_final_result_date_제3회,2026-12-18
