item,date
Sqld_실기_practical_form_제 60회,2026-02-02
Sqld_실기_practical_exam_제 60회,2026-03-07
Sqld_실기_final_result_date_제 60회,2026-03-27
Sqld_실기_practical_form_제 61회,2026-04-27
Sqld_실기_practical_exam_제 61회,2026-05-31
Sqld_실기_final_result_date_제 61회,2026-06-19
Sqld_실기_practical_form_제 62회,2026-07-20
Sqld_실기_practical_exam_제 62회,2026-08-22
Sqld_실기_final_result_date_제 62회,2026-09-11
Sqld_실기_practical_form_제 63회,2026-10-12
Sqld_실기_practical_exam_제 63회,2026-11-14
Sqld_실기_final_result_date_제 63회,2026-12-04
