source,division,written_form,written_exam,written_result_date,practical_form,practical_exam,final_result_date
IEIP,제1회,01.12~01.15,01.30~03.03,03.11(수),03.23~03.26,04.18(토),06.12(금)
IEIP,제2회,04.20~04.23,05.09~05.29,06.10(수),06.22~06.25,07.19(일),09.11(금)
IEIP,제3회,07.20~07.23,08.07~09.01,09.09(수),09.21~09.28,10.25(일),12.18(금)
Linux,2601회,01.26.(월) ~ 02.04.(수),01.27.(화) ~ 02.05.(목),시험종료 즉시,01.27.(화) ~ 02.06.(금),03.14.(토),04.03.(금)
Linux,2602회,04.06.(월) ~ 04.17.(금),05.02.(토),시험종료 즉시,04.28.(화) ~ 05.08.(금),06.13.(토),07.03.(금)
Linux,2603회,07.06.(월) ~ 07.17.(금),08.01.(토),시험종료 즉시,07.28.(화) ~ 08.07.(금),09.12.(토),10.09.(금)
Linux,2604회,10.05.(월) ~ 10.16.(금),10.31.(토),시험종료 즉시,10.27.(화) ~ 11.06.(금),12.12.(토),12.31.(목)
Sqld,제 60회,,,,2026.02.02 ~ 2026.02.06,2026.03.07,2026.03.27
Sqld,제 61회,,,,2026.04.27 ~ 2026.05.01,2026.05.31,2026.06.19
Sqld,제 62회,,,,2026.07.20 ~ 2026.07.24,2026.08.22,2026.09.11
Sqld,제 63회,,,,2026.10.12 ~ 2026.10.16,2026.11.14,2026.12.04
