item,date
2026-01-01,신정
2026-01-05,동계 집중휴무기간
2026-01-13,"전과 신청, 재입학 신청"
2026-01-26,휴복학기간
2026-02-10,수강신청
2026-02-12,학위수여식
2026-02-16,설 연휴
2026-02-23,등록기간
2026-02-24,신입생 수강신청
2026-02-26,전 학년 수강신청
2026-03-01,삼일절
2026-03-02,대체공휴일
2026-03-03,2026학년도 1학기 개강
2026-03-11,설립자 유일한박사 55주기 추모식
2026-03-18,개교기념일
2026-04-01,수업일수 30일
2026-05-01,근로자의날
2026-05-04,재량 휴업일
2026-05-05,어린이날
2026-05-06,수업일수 60일
2026-05-24,부처님오신날
2026-05-25,대체공휴일
2026-06-01,수업일수 90일
2026-06-03,전국동시지방선거
2026-06-06,현충일
2026-06-09,보강기간
2026-06-17,기말고사
2026-06-26,성적입력 및 강의평가
2026-07-01,"성적열람 및 정정, 강의평가"
2026-07-14,"전과 신청, 재입학 신청"
2026-07-17,제헌절
2026-07-27,하계 집중휴무기간
2026-08-04,휴복학기간
2026-08-10,수강신청
2026-08-13,후기학위수여식
2026-08-15,광복절
2026-08-17,대체공휴일
2026-08-18,등록기간
2026-08-24,2026-2학기 개강
2026-09-22,수업일수 30일
2026-09-24,추석 연휴
2026-09-25,추석
2026-09-26,추석연휴
2026-10-03,개천절
2026-10-05,대체공휴일
2026-10-09,한글날
2026-10-22,수업일수 60일
2026-11-23,수업일수 90일
2026-11-30,보강기간
2026-11-30,보강기간
2026-12-07,기말고사
2026-12-16,성적입력 및 강의평가
2026-12-21,"성적열람 및 정정, 강의평가"
2026-12-25,성탄절
IEIP_필기_written_form_제1회,2026-01-12
IEIP_필기_written_exam_제1회,2026-01-30
IEIP_필기_written_result_date_제1회,2026-03-11
IEIP_실기_practical_form_제1회,2026-03-23
IEIP_실기_practical_exam_제1회,2026-04-18
IEIP_실기_final_result_date_제1회,2026-06-12
IEIP_필기_written_form_제2회,2026-04-20
IEIP_필기_written_exam_제2회,2026-05-09
IEIP_필기_written_result_date_제2회,2026-06-10
IEIP_실기_practical_form_제2회,2026-06-22
IEIP_실기_practical_exam_제2회,2026-07-19
IEIP_실기_final_result_date_제2회,2026-09-11
IEIP_필기_written_form_제3회,2026-07-20
IEIP_필기_written_exam_제3회,2026-08-07
IEIP_필기_written_result_date_제3회,2026-09-09
IEIP_실기_practical_form_제3회,2026-09-21
IEIP_실기_practical_exam_제3회,2026-10-25
IEIP_실기_final_result_date_제3회,2026-12-18
Linux_필기_written_form_2601회,2026-01-26
Linux_필기_written_exam_2601회,2026-01-27
Linux_필기_written_result_date_2601회,시험종료 즉시
Linux_실기_practical_form_2601회,2026-01-27
Linux_실기_practical_exam_2601회,2026-03-14
Linux_실기_final_result_date_2601회,2026-04-03
Linux_필기_written_form_2602회,2026-04-06
Linux_필기_written_exam_2602회,2026-05-02
Linux_필기_written_result_date_2602회,시험종료 즉시
Linux_실기_practical_form_2602회,2026-04-28
Linux_실기_practical_exam_2602회,2026-06-13
Linux_실기_final_result_date_2602회,2026-07-03
Linux_필기_written_form_2603회,2026-07-06
Linux_필기_written_exam_2603회,2026-08-01
Linux_필기_written_result_date_2603회,시험종료 즉시
Linux_실기_practical_form_2603회,2026-07-28
Linux_실기_practical_exam_2603회,2026-09-12
Linux_실기_final_result_date_2603회,2026-10-09
Linux_필기_written_form_2604회,2026-10-05
Linux_필기_written_exam_2604회,2026-10-31
Linux_필기_written_result_date_2604회,시험종료 즉시
Linux_실기_practical_form_2604회,2026-10-27
Linux_실기_practical_exam_2604회,2026-12-12
Linux_실기_final_result_date_2604회,2026-12-31
Sqld_실기_practical_form_제 60회,2026-02-02
Sqld_실기_practical_exam_제 60회,2026-03-07
Sqld_실기_final_result_date_제 60회,2026-03-27
Sqld_실기_practical_form_제 61회,2026-04-27
Sqld_실기_practical_exam_제 61회,2026-05-31
Sqld_실기_final_result_date_제 61회,2026-06-19
Sqld_실기_practical_form_제 62회,2026-07-20
Sqld_실기_practical_exam_제 62회,2026-08-22
Sqld_실기_final_result_date_제 62회,2026-09-11
Sqld_실기_practical_form_제 63회,2026-10-12
Sqld_실기_practical_exam_제 63회,2026-11-14
Sqld_실기_final_result_date_제 63회,2026-12-04
